table_name,home_care,訪問介護,,,,
NO,column_name,datatype,length,v_home_careのカラム名,titile,memo
1,office_id,int,,,,
2,from_office_time_week,NVARCHAR,4,office_time_weekの先頭４文字,営業時間（平日）の開始時間,時分省いて4桁数字文字列
3,to_office_time_week,NVARCHAR,4,office_time_weekの後ろ４文字,営業時間（平日）の終了時間,時分省いて4桁数字文字列
4,from_office_time_sat,NVARCHAR,4,office_time_satの先頭４文字,営業時間（土曜）の開始時間,時分省いて4桁数字文字列
5,to_office_time_sat,NVARCHAR,4,office_time_satの後ろ４文字,営業時間（土曜）の終了時間,時分省いて4桁数字文字列
6,from_office_time_sun,NVARCHAR,4,office_time_sunの先頭４文字,営業時間（日曜）の開始時間,時分省いて4桁数字文字列
7,to_office_time_sun,NVARCHAR,4,office_time_sunの後ろ４文字,営業時間（日曜）の終了時間,時分省いて4桁数字文字列
8,from_office_time_hol,NVARCHAR,4,office_time_holの先頭４文字,営業時間（祝日）の開始時間,時分省いて4桁数字文字列
9,to_office_time_hol,NVARCHAR,4,office_time_holの後ろ４文字,営業時間（祝日）の終了時間,時分省いて4桁数字文字列
10,office_time_reghol,NVARCHAR(MAX),,office_time_reghol,営業時間（定休日）,
11,office_time_memo,NVARCHAR(MAX),,office_time_memo,営業時間（留意事項）,
12,from_service_time_week,NVARCHAR,4,service_time_weekの先頭４文字,サービス利用時間（平日）の開始時間,時分省いて4桁数字文字列
13,to_service_time_week,NVARCHAR,4,service_time_weekの後ろ４文字,サービス利用時間（平日）の終了時間,時分省いて4桁数字文字列
14,from_service_time_sat,NVARCHAR,4,service_time_satの先頭４文字,サービス利用時間（土曜）の開始時間,時分省いて4桁数字文字列
15,to_service_time_sat,NVARCHAR,4,service_time_satの後ろ４文字,サービス利用時間（土曜）の終了時間,時分省いて4桁数字文字列
16,from_service_time_sun,NVARCHAR,4,service_time_sunの先頭４文字,サービス利用時間（日曜）の開始時間,時分省いて4桁数字文字列
17,to_service_time_sun,NVARCHAR,4,service_time_sunの後ろ４文字,サービス利用時間（日曜）の終了時間,時分省いて4桁数字文字列
18,from_service_time_hol,NVARCHAR,4,service_time_holの先頭４文字,サービス利用時間（祝日）の開始時間,時分省いて4桁数字文字列
19,to_service_time_hol,NVARCHAR,4,service_time_holの後ろ４文字,サービス利用時間（祝日）の終了時間,時分省いて4桁数字文字列
20,service_time_memo,NVARCHAR(MAX),,service_time_memo,サービス利用時間（留意事項）,
21,service_area,NVARCHAR(MAX),,service_area,事業所が通常時に介護サービスを提供する地域,
22,sub_tokuteijigyosyo_1,BIT,,sub_tokuteijigyosyo_1,特定事業所加算(Ⅰ)　（予防を除く）　※体制要件、人材要件及び重度対応要件に適合,あり→1　なし→0　対象なし→NULL
23,sub_tokuteijigyosyo_2,BIT,,sub_tokuteijigyosyo_2,特定事業所加算(Ⅱ)　（予防を除く）　※体制要件及び人材要件に適合,あり→1　なし→0　対象なし→NULL
24,sub_tokuteijigyosyo_3,BIT,,sub_tokuteijigyosyo_3,特定事業所加算(Ⅲ)　（予防を除く）　※体制要件及び重度対応要件に適合,あり→1　なし→0　対象なし→NULL
25,sub_kinkyujihoumon,BIT,,sub_kinkyujihoumon,緊急時訪問介護加算　（予防を除く）,あり→1　なし→0　対象なし→NULL
26,seikatsukinoukoujyourenkei,BIT,,seikatsukinoukoujyourenkei,生活機能向上連携加算,あり→1　なし→0　対象なし→NULL
27,carestaffkaizen_1,BIT,,carestaffkaizen_1,介護職員処遇改善加算（Ⅰ）,あり→1　なし→0　対象なし→NULL
28,carestaffkaizen_2,BIT,,carestaffkaizen_2,介護職員処遇改善加算（Ⅱ）,あり→1　なし→0　対象なし→NULL
29,carestaffkaizen_3,BIT,,carestaffkaizen_3,介護職員処遇改善加算（Ⅲ）,あり→1　なし→0　対象なし→NULL
30,jyoukoukaijyo,BIT,,jyoukoukaijyo,通院等乗降介助の実施,あり→1　なし→0　対象なし→NULL
31,outarea_price,NVARCHAR(MAX),,outarea_price,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法,
32,cancel_price,NVARCHAR(MAX),,cancel_price,利用者の都合により介護サービスを提供できなかった場合に係る費用（キャンセル料）の徴収状況（その額、その算定方法）,
33,userchargecut,BIT,,userchargecut,社会福祉法人等による利用者負担軽減制度の実施の有無,あり→1　なし→0　対象なし→NULL
